Timestamp,Values,Type
2024-06-30 13:43:00,31,Peak
2024-06-30 13:43:00,30,Low
2024-06-30 14:42:00,25,Low
2024-06-30 14:43:00,26,Peak
2024-06-30 14:48:00,25,Low
2024-06-30 16:56:00,100,Peak
2024-06-30 19:27:00,97,Low
2024-06-30 19:27:00,98,Peak
2024-06-30 20:02:00,96,Low
2024-06-30 20:02:00,97,Peak
2024-06-30 20:21:00,95,Low
2024-06-30 20:21:00,96,Peak
2024-06-30 21:13:00,90,Low
2024-06-30 21:13:00,91,Peak
2024-06-30 21:48:00,87,Low
2024-06-30 21:48:00,88,Peak
2024-06-30 22:05:00,87,Peak
2024-06-30 22:05:00,86,Low
2024-06-30 22:24:00,83,Low
2024-06-30 22:24:00,84,Peak
2024-06-30 22:30:00,83,Peak
2024-06-30 22:30:00,82,Low
2024-06-30 22:54:00,76,Low
2024-06-30 22:54:00,77,Peak
2024-06-30 23:00:00,76,Peak
2024-06-30 23:00:00,75,Low
2024-06-30 23:11:00,73,Low
2024-06-30 23:11:00,74,Peak
2024-06-30 23:40:00,68,Peak
2024-06-30 23:40:00,67,Low
2024-06-30 23:55:00,66,Peak
2024-06-30 23:55:00,65,Low
2024-07-01 00:19:00,60,Low
2024-07-01 01:03:00,83,Peak
2024-07-01 01:07:00,83,Peak
2024-07-01 01:07:00,82,Low
2024-07-01 01:28:00,79,Low
2024-07-01 01:29:00,80,Peak
2024-07-01 01:39:00,77,Low
2024-07-01 01:39:00,78,Peak
2024-07-01 02:11:00,73,Low
2024-07-01 02:11:00,74,Peak
2024-07-01 02:22:00,72,Peak
2024-07-01 02:22:00,71,Low
2024-07-01 02:26:00,70,Low
2024-07-01 02:26:00,71,Peak
2024-07-01 02:40:00,68,Peak
2024-07-01 02:40:00,67,Low
2024-07-01 02:52:00,65,Low
2024-07-01 02:52:00,66,Peak
2024-07-01 03:03:00,64,Peak
2024-07-01 03:03:00,63,Low
2024-07-01 03:18:00,61,Peak
2024-07-01 03:18:00,60,Low
2024-07-01 03:48:00,55,Peak
2024-07-01 03:48:00,54,Low
2024-07-01 04:00:00,52,Low
2024-07-01 04:00:00,53,Peak
2024-07-01 04:05:00,51,Low
2024-07-01 04:05:00,52,Peak
2024-07-01 04:08:00,51,Peak
2024-07-01 04:08:00,50,Low
2024-07-01 04:16:00,48,Low
2024-07-01 04:17:00,49,Peak
2024-07-01 04:22:00,48,Peak
2024-07-01 04:22:00,47,Low
